               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11458,            0.050924,            0.026075,             0.10025,             0.12917,            0.048587,            0.011116,            0.099752,            0.069515,            0.020027,              0.0004,              0.0004,              0.0964
                   1,            0.090885,            0.052078,            0.016429,              0.7883,             0.21542,             0.21133,            0.070311,            0.082393,            0.057081,            0.012415,          0.00080733,          0.00080733,            0.092707
                   2,            0.077353,            0.040804,            0.011137,             0.26568,             0.43486,             0.29743,            0.069772,            0.073294,            0.051663,           0.0080011,           0.0012119,           0.0012119,            0.089012
                   3,            0.069994,            0.038401,           0.0074932,             0.44624,             0.48736,             0.45514,             0.15271,             0.06271,            0.048313,           0.0054763,           0.0016139,           0.0016139,            0.085314
                   4,            0.064844,            0.036528,           0.0058034,             0.34981,             0.43079,             0.33444,             0.10322,            0.075433,            0.047292,           0.0043423,           0.0020131,           0.0020131,            0.081613
                   5,            0.061985,            0.035032,           0.0049898,             0.56451,             0.53619,             0.52988,             0.19384,            0.057981,            0.045778,           0.0041945,           0.0024096,           0.0024096,             0.07791
                   6,            0.058429,            0.033585,           0.0048365,             0.48395,             0.60906,             0.51706,             0.18849,            0.056316,            0.044918,           0.0038231,           0.0028034,           0.0028034,            0.074203
                   7,            0.056339,            0.033123,           0.0046057,              0.6273,             0.58932,             0.56976,             0.23804,            0.053978,            0.044373,           0.0036348,           0.0031945,           0.0031945,            0.070494
                   8,            0.052704,            0.033016,           0.0042771,             0.68573,              0.6565,             0.65623,             0.27565,            0.048396,            0.042853,            0.003427,           0.0035828,           0.0035828,            0.066783
                   9,            0.051059,            0.032115,           0.0040599,             0.75568,             0.65625,             0.69905,             0.34598,            0.047665,            0.043357,           0.0032928,           0.0039685,           0.0039685,            0.063069
                  10,            0.049241,             0.03057,           0.0038826,             0.83225,             0.69752,             0.74617,             0.38626,            0.046058,            0.044093,           0.0031888,           0.0043515,           0.0043515,            0.059352
                  11,            0.047444,            0.031105,           0.0038909,             0.84186,             0.66992,              0.7451,              0.3817,            0.045229,            0.043392,           0.0031708,           0.0047318,           0.0047318,            0.055632
                  12,            0.056051,            0.030245,           0.0037482,             0.61259,             0.67259,             0.63088,             0.28894,            0.053106,            0.042982,           0.0035201,           0.0051093,           0.0051093,            0.051909
                  13,            0.052962,            0.029505,           0.0040188,             0.72346,             0.67113,             0.70487,             0.35242,            0.048633,            0.043272,           0.0033775,           0.0054842,           0.0054842,            0.048184
                  14,            0.053073,            0.029777,           0.0038299,             0.76725,             0.67349,             0.70749,             0.34918,            0.048311,             0.04308,           0.0032547,           0.0058563,           0.0058563,            0.044456
                  15,            0.050881,            0.030677,           0.0036914,             0.85988,             0.69309,             0.77055,             0.37556,            0.047259,            0.043869,           0.0031152,           0.0062258,           0.0062258,            0.040726
                  16,            0.049342,            0.029602,           0.0035579,             0.80503,             0.70545,             0.75191,             0.37844,             0.04611,            0.042641,           0.0030641,           0.0065925,           0.0065925,            0.036993
                  17,             0.04582,            0.029377,           0.0035178,             0.81272,             0.71385,             0.75268,             0.40332,            0.046101,            0.042857,           0.0029786,           0.0069565,           0.0069565,            0.033257
                  18,            0.047144,            0.029099,           0.0034293,             0.85622,              0.7583,              0.8032,             0.41748,             0.04434,            0.042424,           0.0029096,           0.0073179,           0.0073179,            0.029518
                  19,            0.044622,            0.029287,           0.0032263,             0.85518,             0.73379,             0.78475,             0.42091,            0.043305,            0.042552,           0.0029662,           0.0076765,           0.0076765,            0.025776
                  20,            0.045869,              0.0293,           0.0033597,             0.85352,              0.7552,             0.80746,             0.45146,            0.041979,            0.042314,           0.0028218,           0.0080324,           0.0080324,            0.022032
                  21,            0.041814,            0.028271,           0.0031439,             0.88139,             0.76013,             0.81914,             0.43245,            0.043725,            0.040249,           0.0027792,           0.0083856,           0.0083856,            0.018286
                  22,            0.042841,            0.028923,           0.0031935,             0.91597,             0.72205,             0.80743,                0.44,            0.041706,            0.041745,           0.0025853,           0.0087361,           0.0087361,            0.014536
                  23,            0.040702,            0.028671,           0.0028852,             0.86724,             0.73974,             0.80468,             0.46995,            0.041199,             0.04236,           0.0027086,           0.0090839,           0.0090839,            0.010784
                  24,            0.040718,              0.0286,           0.0029103,             0.91379,             0.74175,             0.81178,             0.45361,            0.040936,            0.042459,           0.0026483,            0.009208,            0.009208,            0.009208
                  25,            0.039517,            0.028668,           0.0028582,             0.89148,             0.74078,             0.81027,             0.45801,            0.040179,            0.042751,           0.0026472,            0.009208,            0.009208,            0.009208
                  26,            0.037912,            0.027296,           0.0027696,             0.90363,             0.74967,             0.81044,             0.45098,            0.041666,            0.042946,           0.0026199,            0.009175,            0.009175,            0.009175
                  27,            0.037295,            0.029092,           0.0026166,             0.86442,             0.78499,             0.83334,             0.48486,            0.039715,            0.040907,           0.0024905,            0.009142,            0.009142,            0.009142
                  28,             0.03759,            0.026947,           0.0026617,             0.88242,             0.77124,             0.82762,             0.47505,            0.039902,             0.03992,           0.0024798,            0.009109,            0.009109,            0.009109
                  29,             0.03725,            0.026706,           0.0026685,             0.88576,             0.78761,             0.83774,             0.50493,            0.036718,            0.039527,           0.0024816,            0.009076,            0.009076,            0.009076
                  30,            0.036282,            0.027035,             0.00264,             0.90488,             0.77433,             0.83654,             0.50657,            0.036617,             0.04185,           0.0022263,            0.009043,            0.009043,            0.009043
                  31,            0.034449,            0.026035,           0.0024785,             0.91336,             0.75783,             0.83172,             0.49199,            0.037677,             0.03947,           0.0022888,             0.00901,             0.00901,             0.00901
                  32,            0.034917,            0.025687,           0.0025467,             0.91856,              0.7661,             0.83344,             0.50115,            0.038363,              0.0389,           0.0024601,            0.008977,            0.008977,            0.008977
                  33,             0.03333,            0.025209,           0.0024388,             0.91982,             0.76887,             0.83891,             0.50693,            0.035754,            0.037829,           0.0022468,            0.008944,            0.008944,            0.008944
                  34,            0.033832,            0.025684,             0.00224,             0.90385,             0.78965,             0.84321,             0.50767,            0.036718,            0.038312,           0.0024153,            0.008911,            0.008911,            0.008911
                  35,             0.03454,            0.026232,           0.0023601,             0.88497,             0.78953,              0.8434,             0.51442,            0.036505,            0.038354,           0.0022821,            0.008878,            0.008878,            0.008878
                  36,            0.033439,            0.025263,           0.0022766,             0.89619,             0.77775,             0.84133,              0.5093,            0.037427,            0.041531,           0.0022176,            0.008845,            0.008845,            0.008845
                  37,            0.032659,            0.025356,           0.0022477,             0.88184,             0.80317,             0.84479,             0.51058,            0.037016,            0.038072,           0.0020816,            0.008812,            0.008812,            0.008812
                  38,            0.033797,             0.02653,           0.0023196,             0.89755,             0.79731,             0.85361,             0.51977,            0.035541,            0.038146,           0.0020421,            0.008779,            0.008779,            0.008779
                  39,            0.032156,            0.024502,           0.0022572,             0.94314,              0.7545,             0.83867,             0.50942,            0.035756,            0.039016,           0.0022574,            0.008746,            0.008746,            0.008746
                  40,            0.032608,            0.025428,           0.0022708,             0.91355,             0.79932,             0.85876,             0.52523,            0.034854,              0.0385,           0.0021283,            0.008713,            0.008713,            0.008713
                  41,            0.031813,            0.024919,           0.0021922,             0.90966,             0.79443,             0.84939,             0.52539,             0.03518,            0.038458,           0.0021181,             0.00868,             0.00868,             0.00868
                  42,            0.032385,            0.024577,           0.0022269,             0.92739,             0.78667,             0.85169,             0.52882,              0.0355,             0.03877,           0.0021748,            0.008647,            0.008647,            0.008647
                  43,            0.030695,            0.025048,            0.002113,             0.93847,             0.77071,             0.84131,             0.52903,            0.034744,            0.038929,            0.002053,            0.008614,            0.008614,            0.008614
                  44,            0.030843,            0.024029,           0.0022629,             0.92512,              0.7942,             0.85119,             0.52949,            0.035253,            0.038685,           0.0020773,            0.008581,            0.008581,            0.008581
